,title,guests,bedrooms,beds,bathrooms,price,days booked,Superhost,location,rating,reviews,place type,State
0,"Hot Tub, Putting Green, Game Room!",10,3,4,2,237,51,True,Carrollton,5.0,28,Entire home,Texas
1,Cheerful 4 bedrooms vacation home near Bishop Arts,12,4,6,2,285,32,True,Dallas,5.0,4,Entire home,Texas
2,★Amazing Backyard★ 5min walk to Restaurants,10,3,5,2,192,155,False,Dallas,4.77,186,Entire home,Texas
3,Stylish & Comfy ~ Mins to AT&T ~ ♛Royal Beds ~ Pkg,12,5,6,0,250,90,False,Grand Prairie,5.0,6,Entire home,Texas
4,"Cozy 2 story house, 5 bedrooms, 8 beds",12,5,8,0,339,3,False,Frisco,4.9,10,Entire home,Texas
5,Heated spa & pool wBBQ sleeps 10-14 close to DFW,14,4,9,2,422,68,True,Frisco,0.0,31,Entire home,Texas
6,Newly decorated near DFW-sleeps 12-16 pool&BBQ,16,4,10,0,348,32,True,Flower Mound,0.0,2,Entire home,Texas
7,✪Antique Modern Home|Pets|Large Yard+Deck|Central✪,12,5,5,3,360,61,False,Dallas,4.8,85,Entire home,Texas
8,Newly Renovated & Cozy 4 bedroom house in Plano,10,4,5,0,150,62,False,Plano,4.89,9,Entire home,Texas
9,Big Tex house on Urban Side - Large yard/Fire pit,16,4,8,3,200,73,True,Dallas,4.84,108,Entire home,Texas
10,"Cozy Paradise w/ Hot Tub, Game Room + King Beds",10,3,4,2,279,12,True,Plano,2022.0,434,Entire home,Texas
11,Sophisticated Minimalist Modern Home w/pool & spa,10,4,5,2,250,85,False,The Colony,4.67,46,Entire home,Texas
12,🏝Pool Paradise🦩Arcade⭐️Ping-Pong⭐️Darts⭐️Fire Pit⭐️Wii,14,4,7,2,371,55,True,Richardson,4.91,22,Entire home,Texas
13,★Texas themed 3 bedrooms and awesome patio! ★,10,3,5,2,110,35,False,Carrollton,4.6,173,Entire home,Texas
14,Huge Designer Home near Downtown Dallas,16,4,9,3,299,11,True,Dallas,4.87,184,Entire home,Texas
15,The Royce Haus: all-new abode,16,4,8,0,234,29,True,Dallas,4.95,41,Entire home,Texas
16,Modern 8 Bed Home Outdoor Bar with TV Hot Tub BBQ,14,3,8,2,277,46,True,Arlington,4.72,57,Entire home,Texas
17,Dallas Luxury New Build - Near Downtown 🏙,16,5,8,0,288,36,True,Dallas,4.79,24,Entire home,Texas
18,"🤩 Roomy & Cush w/ Hot Tub, Ping Pong, Pac-Man, ++",16,4,6,3,349,15,True,Dallas,4.96,56,Entire home,Texas
19,⭐️ Stylish Spacious Extra Clean Staycation/Getaway,10,5,8,2,157,31,True,Dallas,4.9,145,Entire home,Texas
20,Modern Luxury★Amazing Backyard!!★Near Everything!,16,4,9,0,250,71,False,Dallas,4.89,141,Entire home,Texas
21,★Blue Lux Home★ w/ King bed near DAL & DFW Airport,10,3,7,2,250,39,True,Dallas,4.94,53,Entire home,Texas
22,The Arcadia at Trinity Grove #1 Arcade Home in DFW,16,5,7,0,348,86,True,Dallas,4.9,177,Entire home,Texas
23,"Hello Hot Tub! 💗🐕 Ping Pong, PAC-MAN, Wii, Perfect!",12,3,6,0,289,49,True,Allen,4.92,65,Entire home,Texas
24,King Suite + Game Room | 15 Mins From Everything!,10,3,7,0,166,13,True,Dallas,4.73,49,Entire home,Texas
25,😍Oasis Backyard with heated Pool & Jacuzzi 🎬 Movie,16,8,9,0,765,61,True,Rowlett,4.65,23,Entire home,Texas
26,"Jacuzzi & Pool 3,500 SF Fashion Gallery Home",16,5,7,0,323,65,False,Plano,0.0,2,Entire home,Texas
27,Entire Luxury Residential Home | West Plano | Pool,14,5,5,3,368,77,False,Plano,4.68,50,Entire home,Texas
28,West Dallas Rooftop Skyline ViewTrinity Groves,16,5,9,4,20,38,True,Dallas,4.97,111,Entire home,Texas
29,Lovely 🥰 Pets-Hot Tub-PingPong-PacMan-Roku TV-Wii,16,4,8,3,299,71,True,Carrollton,4.96,26,Entire home,Texas
30,Luxury Home w/ Hot Tub near AT&T Stadium,12,5,12,3,618,27,True,Arlington,4.87,46,Entire home,Texas
31,Best place in town POOL SPA Minutes to Airport Ce,16,5,8,0,901,53,False,Irving,4.83,53,Entire home,Texas
32,3 Miles to Downtown | 5 Bedrooms | Sleeps 10,10,5,5,2,269,17,False,Dallas,4.79,19,Entire home,Texas
33,Modern Rustic with Backyard Oasis + Games + Cinema,14,5,10,0,150,16,True,Allen,5.0,9,Entire home,Texas
34,"★Luxury & Comfy ~5min to Lake, Game Room, Pool&Spa",12,4,14,3,849,3,True,Rowlett,4.85,48,Entire home,Texas
35,The Downtown Victorian-Historic Downtown McKinney,14,4,8,0,209,108,True,McKinney,4.94,101,Entire home,Texas
36,Gorgeous Custom-built Magazine House with Pool,12,5,11,0,910,6,False,Grand Prairie,4.84,93,Entire home,Texas
37,"Charming, fresh, King bed, FREE wifi and coffee",11,4,5,2,149,9,True,Princeton,4.92,39,Entire home,Texas
38,Designer Home in Heart of Dallas! Highland Park!,12,6,6,4,590,27,False,Dallas,0.0,2,Entire home,Texas
39,Relax in Richardson with Room for the Family,10,4,6,3,125,6,False,Richardson,2022.0,2,Entire home,Texas
40,7 Beds | 14 Guests | 3 miles to Downtown Dallas,14,5,7,0,277,12,False,Dallas,4.96,28,Entire home,Texas
41,"❤️ 🐕 Perfect! Jetted Tub, Patio, Ping Pong, Pac-Man",10,3,4,2,229,3,True,Rowlett,4.87,63,Entire home,Texas
42,New Dallas 4 BR Home - Near Bishop Arts + Downtown,16,4,6,0,290,22,True,Dallas,4.67,18,Entire home,Texas
43,"Fully remodeled Cozy house, 10 min. from airport",10,3,6,2,185,34,True,Irving,4.71,14,Entire home,Texas
44,"🌺 Cozy Paradise w/ Hot Tub, Game Room, & King Beds",12,3,4,2,279,12,True,Plano,4.96,82,Entire home,Texas
45,Large Cozy Home 4BD|2BR Bishop Arts | Downtown,12,4,8,2,250,51,False,Dallas,524.0,2,Entire home,Texas
46,Splendid Spacious House | BIG groups w POOL,16,4,11,3,600,6,False,Dallas,4.67,124,Entire home,Texas
47,"🧳Family Friendly- central Dallas, FREE wine & 🍿",12,3,5,2,103,199,True,Dallas,4.79,114,Entire home,Texas
48,Fun 3 Bedroom Lakehouse with Boat Dock,10,3,6,2,346,65,True,Oak Point,4.87,30,Entire home,Texas
49,"Illuminous Home, Private Pool, 4 min Walk to Lake",12,5,10,4,966,9,True,Rowlett,4.87,30,Entire home,Texas
50,😍Perfect Lakeside Home Heated Pool & 🎱 Pool Table😊,16,4,4,0,485,58,True,Rowlett,4.64,11,Entire home,Texas
51,"Head-turning Style, Extraordinary Location!",11,5,6,3,872,61,True,Dallas,4.91,132,Entire home,Texas
52,Gorgeous Vacation Home w/ PRIVATE POOL,10,5,11,3,798,12,True,Mesquite,4.8,25,Entire home,Texas
53,Executive 5br city estate W2 fireplaces sleeps 16!,16,5,22,3,413,38,False,Dallas,4.53,15,Entire home,Texas
54,Walk to Lake Lewisville | Relax by the fire pit,10,3,6,2,389,60,True,Little Elm,4.95,21,Entire home,Texas
55,Bishop's Retreat | 4 BR | Walking Distance,10,4,5,2,120,25,False,Dallas,2022.0,64,Entire home,Texas
56,Mid-century 🌱 4 Bedroom w/ Shuffleboard & Pool! ⛱,12,4,6,2,375,18,False,Plano,2022.0,0,Entire home,Texas
57,House At&t stadium globe Dallas DFW Fort worth,12,3,6,2,60,48,True,Grand Prairie,4.84,107,Entire home,Texas
58,Cozy Modern Oak Cliff Dallas Getaway W/ patio,10,2,5,2,106,0,False,Dallas,1930.0,0,Entire home,Texas
59,Modern Family Friendly 5 BR in Dallas w Lounge,16,5,9,2,461,9,False,Dallas,2022.0,1,Entire home,Texas
60,Vibrant Remodeled House w Great Backyard and POOL,12,4,9,2,698,0,False,Irving,4.74,168,Entire home,Texas
61,Modern Home in Deep Ellum Downtown Dallas Sleep 16,16,4,9,2,385,19,True,Dallas,4.6,20,Entire home,Texas
62,Work trip perfect location. 10mins to DFW airport.,12,4,8,3,640,53,True,Grand Prairie,4.95,38,Entire home,Texas
63,✨4BR Close to everything!,10,4,5,2,50,55,False,Dallas,4.8,35,Entire home,Texas
64,Gorgeous Historic '20s Mini Mansion. King & Queens,16,5,10,3,256,102,True,Wylie,4.85,193,Entire home,Texas
65,"Modern, Luxury, Lovely 1960’s House w/ POOL",16,4,11,2,672,0,False,Dallas,1960.0,91,Entire home,Texas
66,Cozy5bdrm Workspace/Patio/Wi-Fi nearDowntownDallas,16,5,7,0,256,28,True,Dallas,4.88,16,Entire home,Texas
67,Deep Ellum Cowboy | 4 Story Luxury Townhome,12,3,9,0,393,40,False,Dallas,4.88,138,Entire townhouse,Texas
68,Stylish Downtown Home with Massive Backyard,16,4,8,0,262,44,True,Dallas,4.81,27,Entire home,Texas
69,"Grand Escape - Private Pool, 2 King Beds, 14 ppl",14,4,10,2,25,43,True,The Colony,4.9,30,Entire home,Texas
70,💎Central Dallas| 5min to DTown/Deep Ellum| 65” TV,10,3,5,2,176,45,True,Dallas,4.52,21,Entire home,Texas
71,Your Perfect Family Dallas Getaway Retreat,16,5,14,2,564,0,False,Dallas,4.68,74,Entire home,Texas
72,Remodeled luxury with Proximity,10,4,6,0,249,14,True,Lewisville,4.71,42,Entire home,Texas
73,BIG Family Friendly House with Private POOL,10,4,7,0,723,0,True,Allen,4.63,30,Entire home,Texas
74,"Stunning Big Home w Cinema Room, Pool and JACUZZI",12,6,11,3,830,6,True,Rowlett,4.76,38,Entire home,Texas
75,😍Spacious Home with Hot tub/Heated POOL&Pool Table,16,3,3,5,287,24,True,Rowlett,4.8,10,Private room in home,Texas
76,The Hopkins Villa,10,5,5,0,722,0,False,Dallas,4.5,1,Entire villa,Texas
77,Fantastic 4-bedroom home with AMAZING pool!,12,4,6,0,445,6,False,Richardson,5.0,6,Entire home,Texas
78,"Golf course, hot tub, perfect work trip house",11,4,11,0,480,70,True,Grand Prairie,4.9,71,Entire home,Texas
79,"Spacious, Stylish Home w/Pool, Great Location& 5BR",14,5,6,0,473,192,False,Plano,4.45,64,Entire home,Texas
80,The Bishop Arts House,14,4,10,0,611,0,True,Dallas,4.25,4,Entire home,Texas
81,Fun and Cozy Casita- Sleeps 15- Free Breakfast,15,4,4,2,240,104,False,Dallas,4.4,5,Entire home,Texas
82,The Champ House | Perfect for Families & Groups,14,3,8,2,409,32,False,Cedar Hill,2022.0,1,Farm stay,Texas
83,⭐️Modern & Renovated Home | 5BR | Pool & Game Room⭐️,12,5,6,3,550,49,False,The Colony,4.75,36,Entire home,Texas
84,ROOMD | Magnolia Home | 2 King Beds | 4 BR 2.5 BA,10,4,6,0,278,56,True,Plano,2.5,64,Entire home,Texas
85,STUNNING Spacious Bright Pearl Home with a Pool,16,5,14,0,639,0,False,Dallas,4.71,84,Entire home,Texas
86,Luxury Home Great Location Very Spacious,11,3,4,0,175,27,False,Dallas,4.88,26,Entire home,Texas
87,Your Modern and Spacious DFW Home with Pool,14,5,10,3,789,6,True,North Richland Hills,4.94,18,Entire home,Texas
88,High-End Designer House for Big Groups with Pool,12,5,12,0,714,31,True,Grand Prairie,4.8,69,Entire home,Texas
89,"Sleep 12! Foosball, Air hocky, PS4, Poker Table",12,4,10,0,263,57,True,Lewisville,4.83,42,Entire home,Texas
90,Plano Central | Spacious Mid-Century Modern Home,10,4,5,0,303,22,True,Plano,4.93,28,Entire home,Texas
91,Cheerful 3 bedroom house and 2 full bathrooms,15,3,2,2,290,0,False,Dallas,4.75,44,Entire home,Texas
92,Art Deco Lavish 5BR Home with Large Back Yard,14,5,10,3,525,6,True,Plano,4.84,45,Entire home,Texas
93,Walkable Luxury ★Knox Uptown Dining Shops 2,12,4,7,2,214,79,True,Dallas,4.86,174,Entire home,Texas
94,Modern+Elevated BishopArts Luxury -Dazzling View-3,12,3,4,3,225,95,True,Dallas,4.77,124,Entire townhouse,Texas
95,5 bedroom ENTIRE villa with pool and pond view!,10,5,5,0,548,18,False,Flower Mound,4.25,4,Entire villa,Texas
96,The Crest Pool Villa,10,5,6,3,296,6,False,Dallas,100.0,7,Entire villa,Texas
97,Stylish house sleeps 10-14 w gameRm&BBQ near DFW,11,4,9,0,298,9,True,Flower Mound,0.0,39,Entire home,Texas
98,Tastefully Modern Home | Walk to Knox Henderson Bars,11,4,5,2,342,30,True,Dallas,4.96,23,Entire rental unit,Texas
99,6-bedroom home with a pool next to all the fun!,12,6,10,4,750,61,False,Grand Prairie,4.72,46,Entire home,Texas
100,Tropical Getaway with Jacuzzi *Spa *kids friendly*,11,4,6,2,544,67,True,Plano,4.79,42,Entire home,Texas
101,Your Vibrant Dallas Getaway Home,10,4,7,2,519,0,True,Dallas,4.71,14,Entire home,Texas
102,Texas Designer Home with Private Hot Tub and Pool!,11,4,8,3,707,0,True,North Richland Hills,4.87,46,Entire home,Texas
103,DFW Vybehouse - Farmers Market,10,2,6,2,260,3,False,Dallas,2022.0,1,Entire condo,Texas
104,Unique Retreat in central Dallas. FREE wine & 🍿,16,4,7,3,339,3,True,Dallas,4.82,34,Entire home,Texas
105,Walkable Luxury Style Bishop Arts ★ Near it All,12,4,7,2,185,43,True,Dallas,4.81,218,Entire rental unit,Texas
106,Perfect Getaway Home w 5 Bedrooms and HEATED POOL*,12,5,8,0,150,0,True,Plano,4.67,33,Entire home,Texas
107,"Stunning Dallas Home | Beautiful Yard, BIG groups",12,5,8,3,556,0,True,Dallas,5.0,5,Entire home,Texas
108,Lake Lewisville Waterfront Retreat (private beach),12,4,10,2,125,85,False,Little Elm,4.76,187,Entire home,Texas
109,Lovely 2 bedroom apt mockingbird downtown dallas,16,2,3,2,320,0,False,Dallas,2022.0,90,Entire rental unit,Texas
110,Brighton Place! - CHEF and BOATING Partners,16,3,6,2,35,0,False,Dallas,4.5,4,Private room in home,Texas
111,The Haven Escape,10,4,8,3,30,63,True,Hutchins,4.89,97,Entire home,Texas
112,"Bright, Shiny & New! -SUPER close to Six Flags!",12,3,6,0,185,28,False,Arlington,4.8,15,Entire home,Texas
113,Scenic Rustic Farmhouse | Gameroom+Separate Suite,14,6,8,4,378,30,True,Garland,2022.0,67,Farm stay,Texas
114,Modern+Elevated BishopArts Luxury -Dazzling View-1,12,3,4,3,225,39,True,Dallas,4.82,148,Entire townhouse,Texas
115,Cozy home next to AT&T Stadium & Rangers Stadium,10,3,5,2,300,40,True,Arlington,4.0,3,Entire home,Texas
116,✪ Gorgeous ✪ Secluded ⛱ HEATED Pool & Spa Oasis ⛱,11,3,4,3,190,61,False,Plano,4.78,83,Entire home,Texas
117,Spacious & Cozy Texas Gem with Private POOL,14,5,10,3,752,6,True,Plano,4.83,18,Entire home,Texas
118,6 Bedrm+Modern+Elevated BishopArts-Dazzling View-2,16,6,8,6,290,107,True,Dallas,4.89,35,Entire townhouse,Texas
119,🏡Cozy Chic Home w/Pool | 10 min to Downtown/DFW,11,3,6,2,399,30,True,Irving,4.9,20,Entire home,Texas
120,Contemporary Tri-level Home Close to Downtown,10,4,5,4,646,34,True,Dallas,5.0,12,Entire home,Texas
121,BEAU 4 BR Home w CommunityPool&yard in ♥ of Allen,10,4,5,3,269,68,False,Allen,4.86,182,Entire home,Texas
122,Modern 4 bedroom home with pool,10,4,4,0,1,55,False,Dallas,4.91,11,Entire home,Texas
123,"Spacious 5 beds! Foosball, Poker Table, Gameroom",14,5,5,0,267,9,True,Rowlett,3.5,2,Entire home,Texas
124,Modern+Elevated BishopArts Luxury -Dazzling View-4,12,3,4,3,225,69,True,Dallas,4.79,122,Entire townhouse,Texas
125,2xEVERYTHING★4 Car Garage+2 Rftp’s+2 Kitchen+4BD!,16,4,6,5,488,54,True,Dallas,2022.0,1,Entire townhouse,Texas
