,buildingId,lotId,price,latLong,minBeds,minBaths,minArea,imgSrc,hasImage,plid,isFeaturedListing,unitCount,buildingName,isBuilding,address,variableData,badgeInfo,statusType,statusText,listingType,isFavorite,detailUrl,has3DModel,hasAdditionalAttributions,canSaveBuilding,zpid,priceLabel,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,visited,hdpData,pgapt,sgapt,hasVideo,isHomeRec,availabilityDate,streetViewMetadataURL,streetViewURL
0,32.995792--96.672485,1001413100.0,"$1,371+/mo","{'latitude': 32.995792, 'longitude': -96.672485}",1.0,1.0,712.0,https://photos.zillowstatic.com/fp/2560654cb1f7001d143c7aae4138eec7-p_e.jpg,True,1v5bdxvbb32qr,True,12.0,Canterbury Courts,True,"2600 E Renner Rd, Richardson, TX","{'type': '3D_HOME', 'text': '3D Tour'}",,FOR_RENT,Canterbury Courts,,False,/b/canterbury-courts-richardson-tx-5Xhsg4/,True,False,True,,,,,,,,,,,,,,,,
1,32.999767--96.700516,2198275267.0,"$1,620+/mo","{'latitude': 32.999767, 'longitude': -96.700516}",1.0,1.0,605.0,https://photos.zillowstatic.com/fp/38403f447c8ed86542b3f19a68c3492d-p_e.jpg,True,22p2epva3smq0,True,26.0,Windsor CityLine,True,"1250 Hunt St, Richardson, TX","{'type': '3D_HOME', 'text': '3D Tour'}",,FOR_RENT,Windsor CityLine,,False,/b/windsor-cityline-richardson-tx-9nL3XY/,True,False,True,,,,,,,,,,,,,,,,
2,32.934216--96.72765,2175003179.0,"$1,479+/mo","{'latitude': 32.934216, 'longitude': -96.72765}",1.0,1.0,719.0,https://photos.zillowstatic.com/fp/b9e0ec907b49f1f208096e959d303d72-p_e.jpg,True,23h0ay03hw6ev,True,13.0,Camden Buckingham,True,"430 Buckingham Rd, Richardson, TX","{'type': '3D_HOME', 'text': '3D Tour'}",,FOR_RENT,Camden Buckingham,,False,/b/camden-buckingham-richardson-tx-9hJDsz/,True,False,True,,,,,,,,,,,,,,,,
3,32.933865--96.73186,2566620755.0,"$1,706+/mo","{'latitude': 32.933865, 'longitude': -96.73186}",0.0,0.0,710.0,https://photos.zillowstatic.com/fp/804fa6b83dffdc603178620efd53461d-p_e.jpg,True,14nz325ya3d4m,True,7.0,Richland Park,True,"951 S Abrams Rd, Richardson, TX",{},,FOR_RENT,Richland Park,,False,/b/richland-park-richardson-tx-C6DvvQ/,False,False,True,,,,,,,,,,,,,,,,
4,33.001316--96.64173,1001413025.0,"$1,389+/mo","{'latitude': 33.001316, 'longitude': -96.64173}",1.0,1.0,700.0,https://photos.zillowstatic.com/fp/b601b25813e247e481108246cd295c73-p_e.jpg,True,3sxmcd1ba2p3e,True,15.0,Breckinridge Point,True,"4250 E Renner Rd, Richardson, TX",{},,FOR_RENT,Breckinridge Point,,False,/b/breckinridge-point-richardson-tx-5XhsdW/,False,False,True,,,,,,,,,,,,,,,,
5,32.98405--96.70902,1001412805.0,"$1,509+/mo","{'latitude': 32.98405, 'longitude': -96.70902}",1.0,1.0,760.0,https://photos.zillowstatic.com/fp/1564ba0466c30c0f887f598fafe5a3c9-p_e.jpg,True,461jjzt0hahj2,True,17.0,Galatyn Station,True,"2301 Performance Dr, Richardson, TX",{},,FOR_RENT,Galatyn Station,,False,/b/galatyn-station-richardson-tx-5XhsY3/,False,False,True,,,,,,,,,,,,,,,,
6,33.001194--96.7323,1001542269.0,"$1,528+/mo","{'latitude': 33.001194, 'longitude': -96.7323}",1.0,1.0,733.0,https://photos.zillowstatic.com/fp/b8670b5816136231a9bccdc1e52e9016-p_e.jpg,True,27q6sy50ddbja,True,25.0,The Pradera,True,"851 Greenside Dr, Richardson, TX",{},,FOR_RENT,The Pradera,,False,/b/the-pradera-richardson-tx-5XjyT9/,False,False,True,,,,,,,,,,,,,,,,
7,32.98259--96.70745,2317000990.0,"$1,579+/mo","{'latitude': 32.98259, 'longitude': -96.70745}",1.0,1.0,613.0,https://photos.zillowstatic.com/fp/76aadea943acdaef2bd04983304de6eb-p_e.jpg,True,3bs3917rsy9pp,True,27.0,Junction at Galatyn Park,True,"1050 Galatyn Pkwy, Richardson, TX",{},,FOR_RENT,Junction at Galatyn Park,,False,/b/junction-at-galatyn-park-richardson-tx-BCwBzV/,False,False,True,,,,,,,,,,,,,,,,
8,32.969803--96.72539,1002374642.0,"$1,675+/mo","{'latitude': 32.969803, 'longitude': -96.72539}",1.0,1.0,700.0,https://photos.zillowstatic.com/fp/750c5177fa5a377b3bede7b07e19ff6a-p_e.jpg,True,2fhhfzq6z0k9a,True,15.0,Madison at Melrose,True,"1520 Richardson Dr, Richardson, TX",{},,FOR_RENT,Madison at Melrose,,False,/b/madison-at-melrose-richardson-tx-5Xt49M/,False,False,True,,,,,,,,,,,,,,,,
9,,,"$2,350+/mo","{'latitude': 32.98259, 'longitude': -96.7628}",,,,https://photos.zillowstatic.com/fp/ce3b80c624b6bc073b285350858ef45c-p_e.jpg,True,,True,,,,--,"{'type': 'TIME_ON_INFO', 'text': '72 days ago', 'data': {'isFresh': False}}",,FOR_RENT,Apartment for rent,,False,/homedetails/2230-Hibiscus-Ave-8FAB085CF-Richardson-TX-75080/2066754773_zpid/,False,False,,2066754773,$2.4K,2.0,2.0,1194.0,False,False,False,"{'homeInfo': {'zpid': 2066754773, 'zipcode': '75080', 'city': 'Richardson', 'state': 'TX', 'latitude': 32.98259, 'longitude': -96.7628, 'price': 2350.0, 'datePriceChanged': 1663138800000, 'bathrooms': 2.0, 'bedrooms': 2.0, 'livingArea': 1194.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': -1, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2350.0, 'priceChange': 50, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# 8fab085cf'}}",ForRent,For Rent,False,False,,,
